tracking_timestamp_us,left_yaw_rads_cpf,right_yaw_rads_cpf,pitch_rads_cpf,depth_m,left_yaw_low_rads_cpf,right_yaw_low_rads_cpf,pitch_low_rads_cpf,left_yaw_high_rads_cpf,right_yaw_high_rads_cpf,pitch_high_rads_cpf,tx_left_eye_cpf,ty_left_eye_cpf,tz_left_eye_cpf,tx_right_eye_cpf,ty_right_eye_cpf,tz_right_eye_cpf,session_uid
484367875,-0.1728339940309524,-0.0201062373816967,-0.2625828087329864,0.4241929418816624,-0.1977913528680801,-0.0378809571266174,-0.287300169467926,-0.1502822637557983,-0.0034380033612251,-0.2263612747192382,0.0315,0.0,0.0,-0.0315,0.0,0.0,78b32e6d-c45a-4be4-b796-ac37f8e13a8a
484378979,-0.173715204000473,-0.018434964120388,-0.2644808888435364,0.4174214863121649,-0.1978622525930404,-0.0362608805298805,-0.2890452742576599,-0.1516399681568145,-0.0017759650945663,-0.2288249284029007,0.0315,0.0,0.0,-0.0315,0.0,0.0,78b32e6d-c45a-4be4-b796-ac37f8e13a8a
484390083,-0.1829397678375244,-0.0188261419534683,-0.2586338818073272,0.3940488736805204,-0.2066938430070877,-0.0366222001612186,-0.2830766439437866,-0.1605389714241027,-0.0021754205226898,-0.224430575966835,0.0315,0.0,0.0,-0.0315,0.0,0.0,78b32e6d-c45a-4be4-b796-ac37f8e13a8a
484401187,-0.1763128936290741,-0.0196087956428527,-0.2636259198188782,0.4134374732097009,-0.2017481625080108,-0.0373806953430175,-0.2882967889308929,-0.15333853662014,-0.0029975175857543,-0.2272182703018188,0.0315,0.0,0.0,-0.0315,0.0,0.0,78b32e6d-c45a-4be4-b796-ac37f8e13a8a
484412291,-0.1732807159423828,-0.0166238881647586,-0.2623772323131561,0.4135534678888822,-0.1998668909072876,-0.0345307290554046,-0.2873298227787018,-0.1497731953859329,0.0001260191202163,-0.2242774367332458,0.0315,0.0,0.0,-0.0315,0.0,0.0,78b32e6d-c45a-4be4-b796-ac37f8e13a8a
484423395,-0.149020254611969,-0.0127792619168758,-0.2418595254421234,0.4738964864883858,-0.1701716482639312,-0.030327558517456,-0.2657117843627929,-0.1294539868831634,0.0036057233810424,-0.2085214555263519,0.0315,0.0,0.0,-0.0315,0.0,0.0,78b32e6d-c45a-4be4-b796-ac37f8e13a8a
484434499,-0.111618623137474,-0.000752005726099,-0.2021120935678482,0.5785119757892118,-0.1308900266885757,-0.0179804190993309,-0.2257820218801498,-0.0935268551111221,0.0153691209852695,-0.1705837100744247,0.0315,0.0,0.0,-0.0315,0.0,0.0,78b32e6d-c45a-4be4-b796-ac37f8e13a8a
484445603,-0.0928668454289436,0.0032615810632705,-0.1676474809646606,0.6634951869985011,-0.1103926748037338,-0.0131962001323699,-0.190200537443161,-0.0761482268571853,0.0185350440442562,-0.1397863328456878,0.0315,0.0,0.0,-0.0315,0.0,0.0,78b32e6d-c45a-4be4-b796-ac37f8e13a8a
484456707,-0.1016773506999015,0.0069809034466743,-0.1414481848478317,0.584403325805129,-0.1194981709122657,-0.009371668100357,-0.1639831662178039,-0.0847396403551101,0.0223876684904098,-0.1124169379472732,0.0315,0.0,0.0,-0.0315,0.0,0.0,78b32e6d-c45a-4be4-b796-ac37f8e13a8a
484467811,-0.1017267629504203,0.0069819055497646,-0.1496165245771408,0.5848292982952128,-0.1197012513875961,-0.0095918625593185,-0.1723346710205078,-0.0846311450004577,0.0224093571305274,-0.1200719401240348,0.0315,0.0,0.0,-0.0315,0.0,0.0,78b32e6d-c45a-4be4-b796-ac37f8e13a8a
484478915,-0.1038059964776039,0.0082648172974586,-0.148171529173851,0.5671155113034871,-0.121062196791172,-0.0082119517028331,-0.1705461889505386,-0.0871437042951583,0.0236599780619144,-0.1192852184176445,0.0315,0.0,0.0,-0.0315,0.0,0.0,78b32e6d-c45a-4be4-b796-ac37f8e13a8a
484490019,-0.1032381802797317,0.0081470496952533,-0.1496198326349258,0.5707434080343239,-0.1205635219812393,-0.0084744542837142,-0.1720903068780899,-0.0864871814846992,0.0236320048570632,-0.1211393624544143,0.0315,0.0,0.0,-0.0315,0.0,0.0,78b32e6d-c45a-4be4-b796-ac37f8e13a8a
484501123,-0.1064944714307785,0.0063480325043201,-0.1486629247665405,0.5632054416547643,-0.123433880507946,-0.01015405356884,-0.1707752496004104,-0.0900167748332023,0.0217634178698062,-0.1208468899130821,0.0315,0.0,0.0,-0.0315,0.0,0.0,78b32e6d-c45a-4be4-b796-ac37f8e13a8a
484512227,-0.1032777801156044,0.0086955912411212,-0.1499627232551574,0.5677756724309682,-0.1199571937322616,-0.0078713633120059,-0.1721643805503845,-0.0869015678763389,0.0240439996123313,-0.1223538443446159,0.0315,0.0,0.0,-0.0315,0.0,0.0,78b32e6d-c45a-4be4-b796-ac37f8e13a8a
484523331,-0.1021522581577301,0.007585197687149,-0.1500071436166763,0.5793722422649852,-0.1190605759620666,-0.0088851265609264,-0.1722538769245147,-0.0855411812663078,0.0229393765330314,-0.1235093623399734,0.0315,0.0,0.0,-0.0315,0.0,0.0,78b32e6d-c45a-4be4-b796-ac37f8e13a8a
484534435,-0.099573403596878,0.0073608085513114,-0.1492723822593689,0.5945581396292408,-0.1173309832811355,-0.0089184343814849,-0.1718228906393051,-0.0824597552418708,0.0225817672908306,-0.1210444420576095,0.0315,0.0,0.0,-0.0315,0.0,0.0,78b32e6d-c45a-4be4-b796-ac37f8e13a8a
